Date,open,high,low,close,volume,sma_20,sma_50,ema_20,rsi,macd,macd_signal
2005-07-01,1350.0,1356.7,1340.35,1352.4,602571,1299.9675,1235.836,1305.5157297713151,64.47938001822267,24.651757792619037,20.542292334154407
2005-07-04,1358.8,1371.9,1331.0,1359.05,493956,1303.9,1240.2830000000001,1310.6142316978567,65.63820214243836,25.84578293314962,21.60299045395345
2005-07-05,1369.75,1369.75,1312.6,1320.2,648422,1306.0275,1244.374,1311.5271620123465,54.460085848929936,23.387588579626254,21.95991007908801
2005-07-06,1326.0,1332.6,1316.15,1323.1,382152,1307.5774999999999,1248.54,1312.6293370587898,55.07510784420287,21.42646663792425,21.85322139085526
2005-07-07,1323.1,1340.0,1303.25,1309.65,436111,1309.195,1252.1109999999999,1312.3455906722386,51.594832408273064,18.572864357241315,21.197149984132473
2005-07-08,1310.6,1329.4,1293.55,1311.1,761000,1311.4425,1255.755,1312.2269629891682,51.947370314419146,16.241149016452482,20.205949790596474
2005-07-11,1311.1,1330.0,1311.1,1326.05,473908,1314.1625,1260.104,1313.5434427044856,55.542518706351224,15.42181478630232,19.249122789737644
2005-07-12,1318.6,1321.0,1272.3,1285.9,768825,1315.1550000000002,1263.405,1310.910733875487,45.66192730465596,11.401290078506236,17.679556247491362
2005-07-13,1285.0,1300.0,1267.0,1270.75,808730,1315.085,1266.083,1307.0859020778216,42.58362170902825,6.9128300928709905,15.52621101656729
2005-07-14,1278.65,1287.7,1216.35,1225.0,1107551,1312.45,1267.233,1299.268197118029,34.926353088574146,-0.3321209510636436,12.354544623041104
2005-07-15,1231.0,1261.9,1215.05,1248.45,1167715,1311.49,1268.697,1294.428368821074,40.80223463946211,-4.133924521656127,9.056850794101658
2005-07-18,1252.0,1479.0,1252.0,1322.2,1809451,1312.8049999999998,1272.0910000000001,1297.0732860762098,54.66635662138507,-1.182244418596838,7.00903175156196
2005-07-19,1348.4,1358.0,1260.0,1319.15,584718,1313.5075000000002,1275.492,1299.175830259428,54.102039543622645,0.9004934902795867,5.7873240993054855
2005-07-20,1335.0,1335.0,1305.15,1308.25,436788,1312.2525,1278.722,1300.0400369013873,52.034719922991535,1.652490501618331,4.9603573797680545
2005-07-21,1321.0,1321.0,1280.0,1290.3,524873,1311.3975,1281.556,1299.1124143393506,48.73229116374124,0.7909213167511098,4.1264701671646655
